# CV   MetaFEP(moving average)  95% confindence(lower bound)  95% confindence(upper bound) MetaFEP(raw)
-2.86666666667	inf	nan	nan	inf
-2.85333333333	inf	nan	nan	inf
-2.84	inf	nan	nan	inf
-2.82666666667	inf	nan	nan	inf
-2.81333333333	inf	nan	nan	inf
-2.8	inf	nan	nan	inf
-2.78666666667	inf	nan	nan	inf
-2.77333333333	inf	nan	nan	inf
-2.76	inf	nan	nan	inf
-2.74666666667	inf	nan	nan	inf
-2.73333333333	inf	nan	nan	inf
-2.72	inf	nan	nan	inf
-2.70666666667	inf	nan	nan	inf
-2.69333333333	inf	nan	nan	inf
-2.68	inf	nan	nan	inf
-2.66666666667	inf	nan	nan	inf
-2.65333333333	inf	nan	nan	inf
-2.64	inf	nan	nan	inf
-2.62666666667	inf	nan	nan	inf
-2.61333333333	inf	nan	nan	inf
-2.6	inf	nan	nan	inf
-2.58666666667	inf	nan	nan	inf
-2.57333333333	inf	nan	nan	inf
-2.56	inf	nan	nan	inf
-2.54666666667	inf	nan	nan	inf
-2.53333333333	inf	nan	nan	inf
-2.52	inf	nan	nan	inf
-2.50666666667	inf	nan	nan	inf
-2.49333333333	inf	nan	nan	inf
-2.48	inf	nan	nan	inf
-2.46666666667	inf	nan	nan	inf
-2.45333333333	inf	nan	nan	inf
-2.44	inf	nan	nan	inf
-2.42666666667	inf	nan	nan	inf
-2.41333333333	inf	nan	nan	inf
-2.4	inf	nan	nan	inf
-2.38666666667	inf	nan	nan	inf
-2.37333333333	inf	nan	nan	inf
-2.36	inf	nan	nan	inf
-2.34666666667	inf	nan	nan	inf
-2.33333333333	inf	nan	nan	inf
-2.32	inf	nan	nan	inf
-2.30666666667	inf	nan	nan	inf
-2.29333333333	inf	nan	nan	inf
-2.28	inf	nan	nan	inf
-2.26666666667	inf	nan	nan	inf
-2.25333333333	inf	nan	nan	inf
-2.24	inf	nan	nan	inf
-2.22666666667	inf	nan	nan	inf
-2.21333333333	inf	nan	nan	inf
-2.2	inf	nan	nan	inf
-2.18666666667	inf	nan	nan	inf
-2.17333333333	inf	nan	nan	409.238898864
-2.16	inf	nan	nan	inf
-2.14666666667	inf	nan	nan	inf
-2.13333333333	inf	nan	nan	inf
-2.12	inf	nan	nan	inf
-2.10666666667	inf	nan	nan	356.067859141
-2.09333333333	inf	nan	nan	inf
-2.08	inf	nan	nan	335.663859202
-2.06666666667	inf	nan	nan	319.114404743
-2.05333333333	inf	nan	nan	305.137334081
-2.04	inf	nan	nan	291.101278864
-2.02666666667	inf	nan	nan	290.01234737
-2.01333333333	inf	nan	nan	277.055667343
-2.0	inf	nan	nan	269.852985864
-1.98666666667	inf	nan	nan	252.871925864
-1.97333333333	inf	nan	nan	242.220722332
-1.96	inf	nan	nan	225.477195864
-1.94666666667	inf	nan	nan	223.901090169
-1.93333333333	inf	nan	nan	221.166617864
-1.92	inf	nan	nan	209.192657864
-1.90666666667	inf	nan	nan	191.217878819
-1.89333333333	inf	nan	nan	inf
-1.88	inf	nan	nan	180.959600047
-1.86666666667	inf	nan	nan	170.549335864
-1.85333333333	inf	nan	nan	165.213606602
-1.84	inf	nan	nan	159.509028864
-1.82666666667	inf	nan	nan	144.847328671
-1.81333333333	inf	nan	nan	147.259829864
-1.8	inf	nan	nan	128.9151126
-1.78666666667	inf	nan	nan	120.838911236
-1.77333333333	inf	nan	nan	110.859676432
-1.76	inf	nan	nan	107.240153375
-1.74666666667	108.949602682	91.1353499868	126.763855376	100.068350193
-1.73333333333	101.905439991	84.4821107718	119.328769209	97.8383100843
-1.72	95.4802385046	78.6041543124	112.356322697	89.6655118545
-1.70666666667	88.885400428	72.5495768374	105.221224019	81.5476732201
-1.69333333333	82.4803653973	66.8981570273	98.0625737673	82.889348126
-1.68	76.5884785675	61.4777943675	91.6991627674	59.1737068014
-1.66666666667	70.3795332672	56.221210174	84.5378563604	64.5214271872
-1.65333333333	64.8848139652	51.2069378587	78.5626900716	62.7418786109
-1.64	59.7563144914	46.6097026863	72.9029262965	52.9926929698
-1.62666666667	54.7309726982	41.833618118	67.6283272784	51.3605710299
-1.61333333333	49.8446031187	37.398221208	62.2909850295	40.0763462269
-1.6	45.168183729	33.1475023561	57.188865102	42.0453061436
-1.58666666667	40.702968067	29.4373842765	51.9685518574	33.316845069
-1.57333333333	36.3287513597	25.6298800656	47.0276226539	31.4083282505
-1.56	32.1791856712	21.9213498646	42.4370214778	27.0095920747
-1.54666666667	27.9471882383	18.5587584609	37.3356180157	23.0809238586
-1.53333333333	24.8043708564	15.5044327329	34.1043089798	19.0207265592
-1.52	21.1940105104	12.3073101484	30.0807108723	18.2689217609
-1.50666666667	17.7691878808	9.57672387273	25.9616518889	10.3528405681
-1.49333333333	14.7984958006	7.1091709859	22.4878206154	9.51276178572
-1.48	11.6847752569	4.55915936699	18.8103911468	6.53996239937
-1.46666666667	9.27136611258	2.51056999951	16.0321622256	8.53399684307
-1.45333333333	6.53967371671	0.330937533582	12.7484098998	2.18117770975
-1.44	4.28099954946	-1.54416006235	10.1061591613	-1.44364054992
-1.42666666667	2.00301517231	-3.39431851088	7.40034885551	-1.75060053338
-1.41333333333	0.0363704755438	-4.89858680022	4.9713277513	-3.68264083669
-1.4	-1.84347213893	-6.38314665798	2.69620238013	-7.68577973281
-1.38666666667	-3.68177751912	-7.94878385143	0.585228813198	-5.75457398044
-1.37333333333	-5.27949524665	-9.02790774298	-1.53108275032	-6.42114863344
-1.36	-6.44697019576	-9.91306675266	-2.98087363886	-10.9138398447
